sc,	sm,	mu_c,	mu_m,	lnZ,	D,	d 
0.2311,	0.8944,	0.5222,	1.789,	-360.8,	9.933,	5.475
0.4522,	0.8944,	0.5222,	1.789,	-357.2,	7.178,	3.446
0.6733,	0.8944,	0.5222,	1.789,	-356.4,	6.378,	3.004
0.8944,	0.8944,	0.5222,	1.789,	-355.5,	5.772,	2.342
1.116,	0.8944,	0.5222,	1.789,	-355.7,	5.851,	2.856
1.337,	0.8944,	0.5222,	1.789,	-356.5,	6.456,	2.389
1.558,	0.8944,	0.5222,	1.789,	-356.7,	6.932,	2.794
1.779,	0.8944,	0.5222,	1.789,	-356.5,	6.639,	2.81
2.0,	0.8944,	0.5222,	1.789,	-356.7,	6.782,	2.937
0.01,	1.116,	0.5222,	1.789,	-402.5,	5.092,	3.292
0.2311,	1.116,	0.5222,	1.789,	-360.3,	9.419,	6.025
0.4522,	1.116,	0.5222,	1.789,	-357.2,	7.079,	2.988
0.6733,	1.116,	0.5222,	1.789,	-356.1,	6.336,	2.416
0.8944,	1.116,	0.5222,	1.789,	-355.9,	5.962,	2.593
1.116,	1.116,	0.5222,	1.789,	-355.9,	5.847,	2.593
1.337,	1.116,	0.5222,	1.789,	-355.8,	5.978,	2.603
1.558,	1.116,	0.5222,	1.789,	-357.2,	7.373,	2.811
1.779,	1.116,	0.5222,	1.789,	-356.6,	6.674,	2.918
2.0,	1.116,	0.5222,	1.789,	-356.1,	6.13,	2.841
0.01,	1.337,	0.5222,	1.789,	-402.8,	5.399,	3.633
0.2311,	1.337,	0.5222,	1.789,	-361.2,	10.71,	4.552
0.4522,	1.337,	0.5222,	1.789,	-356.8,	6.672,	3.381
0.6733,	1.337,	0.5222,	1.789,	-356.6,	6.596,	3.296
0.8944,	1.337,	0.5222,	1.789,	-355.7,	5.843,	2.711
1.116,	1.337,	0.5222,	1.789,	-356.5,	6.614,	2.999
1.337,	1.337,	0.5222,	1.789,	-356.5,	6.704,	3.131
1.558,	1.337,	0.5222,	1.789,	-357.4,	7.493,	2.785
1.779,	1.337,	0.5222,	1.789,	-357.0,	7.014,	3.122
2.0,	1.337,	0.5222,	1.789,	-357.3,	7.12,	3.748
0.01,	1.558,	0.5222,	1.789,	-403.4,	5.566,	3.878
0.2311,	1.558,	0.5222,	1.789,	-361.1,	10.08,	6.402
0.4522,	1.558,	0.5222,	1.789,	-357.6,	7.526,	3.814
0.6733,	1.558,	0.5222,	1.789,	-355.9,	6.11,	2.315
0.8944,	1.558,	0.5222,	1.789,	-356.9,	7.064,	2.613
1.116,	1.558,	0.5222,	1.789,	-356.6,	6.837,	2.584
1.337,	1.558,	0.5222,	1.789,	-356.8,	7.035,	2.984
1.558,	1.558,	0.5222,	1.789,	-357.0,	7.198,	2.342
1.779,	1.558,	0.5222,	1.789,	-357.0,	6.939,	3.012
2.0,	1.558,	0.5222,	1.789,	-357.3,	7.674,	2.584
0.01,	1.779,	0.5222,	1.789,	-403.4,	5.701,	3.732
0.2311,	1.779,	0.5222,	1.789,	-361.3,	10.46,	5.04
0.4522,	1.779,	0.5222,	1.789,	-357.8,	7.782,	3.521
0.6733,	1.779,	0.5222,	1.789,	-356.9,	7.187,	2.449
0.8944,	1.779,	0.5222,	1.789,	-356.4,	6.681,	2.514
1.116,	1.779,	0.5222,	1.789,	-357.8,	7.75,	3.459
1.337,	1.779,	0.5222,	1.789,	-356.2,	6.462,	2.682
1.558,	1.779,	0.5222,	1.789,	-357.5,	7.728,	2.567
1.779,	1.779,	0.5222,	1.789,	-357.5,	7.759,	2.918
2.0,	1.779,	0.5222,	1.789,	-357.0,	7.202,	2.415
0.01,	2.0,	0.5222,	1.789,	-402.3,	5.067,	3.496
0.2311,	2.0,	0.5222,	1.789,	-361.9,	11.0,	6.893
0.4522,	2.0,	0.5222,	1.789,	-358.0,	8.15,	2.99
0.6733,	2.0,	0.5222,	1.789,	-358.2,	8.002,	3.681
0.8944,	2.0,	0.5222,	1.789,	-357.5,	7.555,	2.583
1.116,	2.0,	0.5222,	1.789,	-357.0,	7.135,	2.901
1.337,	2.0,	0.5222,	1.789,	-356.5,	6.642,	2.695
1.558,	2.0,	0.5222,	1.789,	-357.3,	7.419,	2.839
1.779,	2.0,	0.5222,	1.789,	-357.4,	7.556,	2.77
2.0,	2.0,	0.5222,	1.789,	-357.8,	7.846,	2.94
0.01,	0.01,	0.7333,	1.789,	-370.9,	0.6465,	1.756
0.2311,	0.01,	0.7333,	1.789,	-353.2,	3.096,	3.402
0.4522,	0.01,	0.7333,	1.789,	-351.6,	1.802,	2.271
0.6733,	0.01,	0.7333,	1.789,	-351.7,	1.739,	2.354
0.8944,	0.01,	0.7333,	1.789,	-351.6,	1.749,	2.164
1.116,	0.01,	0.7333,	1.789,	-351.5,	1.77,	1.938
1.337,	0.01,	0.7333,	1.789,	-352.0,	2.279,	2.063
1.558,	0.01,	0.7333,	1.789,	-352.0,	2.25,	2.165
1.779,	0.01,	0.7333,	1.789,	-352.2,	2.318,	2.37
2.0,	0.01,	0.7333,	1.789,	-352.4,	2.552,	2.319
0.01,	0.2311,	0.7333,	1.789,	-374.1,	3.544,	2.703
0.2311,	0.2311,	0.7333,	1.789,	-355.8,	5.535,	3.844
0.4522,	0.2311,	0.7333,	1.789,	-354.8,	4.846,	3.009
0.6733,	0.2311,	0.7333,	1.789,	-354.0,	4.188,	2.842
0.8944,	0.2311,	0.7333,	1.789,	-354.2,	4.329,	2.638
1.116,	0.2311,	0.7333,	1.789,	-354.5,	4.577,	3.027
1.337,	0.2311,	0.7333,	1.789,	-354.7,	4.679,	3.38
1.558,	0.2311,	0.7333,	1.789,	-355.2,	5.241,	2.857
1.779,	0.2311,	0.7333,	1.789,	-355.6,	5.715,	2.604
2.0,	0.2311,	0.7333,	1.789,	-355.7,	5.824,	3.415
0.01,	0.4522,	0.7333,	1.789,	-374.8,	4.406,	2.474
0.2311,	0.4522,	0.7333,	1.789,	-356.3,	6.141,	3.761
0.4522,	0.4522,	0.7333,	1.789,	-354.8,	4.901,	2.249
0.6733,	0.4522,	0.7333,	1.789,	-355.1,	5.049,	2.985
0.8944,	0.4522,	0.7333,	1.789,	-355.2,	5.489,	2.543
1.116,	0.4522,	0.7333,	1.789,	-355.3,	5.517,	2.926
1.337,	0.4522,	0.7333,	1.789,	-355.2,	5.165,	3.068
1.558,	0.4522,	0.7333,	1.789,	-355.7,	5.817,	3.316
1.779,	0.4522,	0.7333,	1.789,	-356.1,	6.076,	3.186
2.0,	0.4522,	0.7333,	1.789,	-356.1,	6.169,	2.901
0.01,	0.6733,	0.7333,	1.789,	-374.8,	4.404,	2.73
0.2311,	0.6733,	0.7333,	1.789,	-356.3,	5.785,	4.157
0.4522,	0.6733,	0.7333,	1.789,	-355.6,	5.517,	3.072
0.6733,	0.6733,	0.7333,	1.789,	-355.0,	5.323,	2.43
0.8944,	0.6733,	0.7333,	1.789,	-355.3,	5.613,	2.198
1.116,	0.6733,	0.7333,	1.789,	-355.6,	5.725,	2.656
1.337,	0.6733,	0.7333,	1.789,	-355.9,	5.927,	2.923
1.558,	0.6733,	0.7333,	1.789,	-356.5,	6.378,	3.385
1.779,	0.6733,	0.7333,	1.789,	-356.0,	6.138,	2.624
2.0,	0.6733,	0.7333,	1.789,	-356.7,	6.576,	3.042
0.01,	0.8944,	0.7333,	1.789,	-375.3,	4.884,	2.432
0.2311,	0.8944,	0.7333,	1.789,	-357.1,	6.814,	4.108
0.4522,	0.8944,	0.7333,	1.789,	-355.4,	5.669,	2.493
0.6733,	0.8944,	0.7333,	1.789,	-355.8,	6.015,	2.275
0.8944,	0.8944,	0.7333,	1.789,	-356.0,	6.155,	2.473
1.116,	0.8944,	0.7333,	1.789,	-355.9,	6.427,	2.234
1.337,	0.8944,	0.7333,	1.789,	-356.0,	6.1,	2.792
1.558,	0.8944,	0.7333,	1.789,	-356.5,	6.815,	2.966
1.779,	0.8944,	0.7333,	1.789,	-356.8,	6.791,	3.384
2.0,	0.8944,	0.7333,	1.789,	-356.7,	6.878,	3.086
0.01,	1.116,	0.7333,	1.789,	-375.6,	5.036,	2.934
0.2311,	1.116,	0.7333,	1.789,	-357.4,	7.093,	4.353
0.4522,	1.116,	0.7333,	1.789,	-356.1,	5.983,	3.748
0.6733,	1.116,	0.7333,	1.789,	-356.0,	6.003,	3.049
0.8944,	1.116,	0.7333,	1.789,	-356.8,	6.725,	2.89
1.116,	1.116,	0.7333,	1.789,	-356.5,	6.594,	2.786
1.337,	1.116,	0.7333,	1.789,	-356.6,	6.675,	2.889
1.558,	1.116,	0.7333,	1.789,	-356.4,	6.567,	2.594
1.779,	1.116,	0.7333,	1.789,	-355.7,	5.78,	2.583
2.0,	1.116,	0.7333,	1.789,	-356.9,	6.89,	2.937
0.01,	1.337,	0.7333,	1.789,	-375.6,	5.138,	2.803
0.2311,	1.337,	0.7333,	1.789,	-357.9,	7.573,	3.99
0.4522,	1.337,	0.7333,	1.789,	-356.0,	6.264,	2.817
0.6733,	1.337,	0.7333,	1.789,	-356.0,	6.191,	2.831
0.8944,	1.337,	0.7333,	1.789,	-355.9,	5.846,	3.574
1.116,	1.337,	0.7333,	1.789,	-357.0,	6.954,	2.934
1.337,	1.337,	0.7333,	1.789,	-356.2,	6.4,	2.572
1.558,	1.337,	0.7333,	1.789,	-356.4,	6.479,	2.6
1.779,	1.337,	0.7333,	1.789,	-357.1,	7.279,	2.748
2.0,	1.337,	0.7333,	1.789,	-357.2,	7.433,	2.679
0.01,	1.558,	0.7333,	1.789,	-376.5,	6.166,	2.288
0.2311,	1.558,	0.7333,	1.789,	-357.9,	7.688,	3.924
0.4522,	1.558,	0.7333,	1.789,	-356.2,	6.235,	2.891
0.6733,	1.558,	0.7333,	1.789,	-356.6,	6.709,	3.134
0.8944,	1.558,	0.7333,	1.789,	-356.4,	6.529,	2.432
1.116,	1.558,	0.7333,	1.789,	-356.7,	6.652,	3.043
1.337,	1.558,	0.7333,	1.789,	-356.4,	6.666,	2.563
1.558,	1.558,	0.7333,	1.789,	-356.8,	6.813,	3.172
1.779,	1.558,	0.7333,	1.789,	-357.4,	7.626,	2.348
2.0,	1.558,	0.7333,	1.789,	-357.2,	7.383,	2.312
0.01,	1.779,	0.7333,	1.789,	-375.8,	5.354,	2.64
0.2311,	1.779,	0.7333,	1.789,	-358.4,	8.152,	3.909
0.4522,	1.779,	0.7333,	1.789,	-356.6,	6.835,	2.427
0.6733,	1.779,	0.7333,	1.789,	-356.3,	6.498,	2.704
0.8944,	1.779,	0.7333,	1.789,	-356.4,	6.561,	2.757
1.116,	1.779,	0.7333,	1.789,	-356.5,	6.697,	2.712
1.337,	1.779,	0.7333,	1.789,	-356.9,	7.108,	2.658
1.558,	1.779,	0.7333,	1.789,	-356.9,	7.029,	2.704
1.779,	1.779,	0.7333,	1.789,	-356.7,	6.8,	3.143
2.0,	1.779,	0.7333,	1.789,	-356.9,	6.913,	2.595
0.01,	2.0,	0.7333,	1.789,	-376.0,	5.792,	2.822
0.2311,	2.0,	0.7333,	1.789,	-357.0,	7.226,	1.747
0.4522,	2.0,	0.7333,	1.789,	-356.5,	6.722,	2.52
0.6733,	2.0,	0.7333,	1.789,	-356.4,	6.427,	2.937
0.8944,	2.0,	0.7333,	1.789,	-356.6,	6.666,	3.295
1.116,	2.0,	0.7333,	1.789,	-356.5,	6.658,	2.863
1.337,	2.0,	0.7333,	1.789,	-356.5,	6.481,	2.544
1.558,	2.0,	0.7333,	1.789,	-357.2,	7.167,	2.882
1.779,	2.0,	0.7333,	1.789,	-356.6,	6.75,	2.698
2.0,	2.0,	0.7333,	1.789,	-357.8,	7.836,	2.995
0.01,	0.01,	0.9444,	1.789,	-355.0,	0.6396,	1.44
0.2311,	0.01,	0.9444,	1.789,	-350.9,	1.186,	2.534
0.4522,	0.01,	0.9444,	1.789,	-351.3,	1.33,	2.467
0.6733,	0.01,	0.9444,	1.789,	-351.6,	1.692,	2.543
0.8944,	0.01,	0.9444,	1.789,	-351.3,	1.62,	2.307
1.116,	0.01,	0.9444,	1.789,	-351.8,	2.043,	2.228
1.337,	0.01,	0.9444,	1.789,	-352.2,	2.304,	2.833
1.558,	0.01,	0.9444,	1.789,	-352.3,	2.504,	2.365
1.779,	0.01,	0.9444,	1.789,	-352.1,	2.398,	2.044
2.0,	0.01,	0.9444,	1.789,	-352.6,	2.624,	2.515
0.01,	0.2311,	0.9444,	1.789,	-358.0,	3.68,	2.178
0.2311,	0.2311,	0.9444,	1.789,	-353.7,	3.827,	2.826
0.4522,	0.2311,	0.9444,	1.789,	-353.5,	3.696,	2.872
0.6733,	0.2311,	0.9444,	1.789,	-354.0,	4.21,	2.562
0.8944,	0.2311,	0.9444,	1.789,	-354.6,	4.702,	2.756
1.116,	0.2311,	0.9444,	1.789,	-354.9,	4.968,	2.979
1.337,	0.2311,	0.9444,	1.789,	-354.7,	4.794,	3.102
1.558,	0.2311,	0.9444,	1.789,	-355.5,	5.513,	2.793
1.779,	0.2311,	0.9444,	1.789,	-355.0,	5.237,	2.494
2.0,	0.2311,	0.9444,	1.789,	-355.1,	5.17,	3.215
0.01,	0.4522,	0.9444,	1.789,	-358.4,	3.976,	1.747
0.2311,	0.4522,	0.9444,	1.789,	-354.1,	4.46,	2.61
0.4522,	0.4522,	0.9444,	1.789,	-354.5,	4.419,	3.199
0.6733,	0.4522,	0.9444,	1.789,	-354.7,	4.743,	2.613
0.8944,	0.4522,	0.9444,	1.789,	-355.6,	5.665,	2.538
1.116,	0.4522,	0.9444,	1.789,	-355.6,	5.594,	2.799
1.337,	0.4522,	0.9444,	1.789,	-355.5,	5.615,	3.093
1.558,	0.4522,	0.9444,	1.789,	-355.2,	5.247,	2.849
1.779,	0.4522,	0.9444,	1.789,	-355.6,	5.707,	2.982
2.0,	0.4522,	0.9444,	1.789,	-355.3,	5.457,	2.93
0.01,	0.6733,	0.9444,	1.789,	-358.5,	4.117,	1.771
0.2311,	0.6733,	0.9444,	1.789,	-355.0,	5.23,	2.713
0.4522,	0.6733,	0.9444,	1.789,	-355.8,	5.769,	3.306
0.6733,	0.6733,	0.9444,	1.789,	-355.5,	5.744,	2.686
0.8944,	0.6733,	0.9444,	1.789,	-355.3,	5.429,	3.051
1.116,	0.6733,	0.9444,	1.789,	-355.7,	5.842,	2.827
1.337,	0.6733,	0.9444,	1.789,	-356.2,	6.397,	2.825
1.558,	0.6733,	0.9444,	1.789,	-356.7,	6.616,	3.091
1.779,	0.6733,	0.9444,	1.789,	-356.3,	6.371,	2.3
2.0,	0.6733,	0.9444,	1.789,	-356.8,	6.807,	2.978
0.01,	0.8944,	0.9444,	1.789,	-359.0,	4.747,	1.799
0.2311,	0.8944,	0.9444,	1.789,	-355.3,	5.182,	3.348
0.4522,	0.8944,	0.9444,	1.789,	-355.0,	5.129,	2.822
0.6733,	0.8944,	0.9444,	1.789,	-355.4,	5.387,	2.959
0.8944,	0.8944,	0.9444,	1.789,	-355.7,	5.918,	2.503
1.116,	0.8944,	0.9444,	1.789,	-355.7,	5.819,	2.599
1.337,	0.8944,	0.9444,	1.789,	-356.1,	6.328,	2.306
1.558,	0.8944,	0.9444,	1.789,	-356.2,	6.241,	2.926
1.779,	0.8944,	0.9444,	1.789,	-356.5,	6.828,	2.446
2.0,	0.8944,	0.9444,	1.789,	-356.0,	6.215,	2.817
0.01,	1.116,	0.9444,	1.789,	-358.9,	4.568,	1.858
0.2311,	1.116,	0.9444,	1.789,	-355.5,	5.822,	2.651
0.4522,	1.116,	0.9444,	1.789,	-354.8,	5.343,	2.179
0.6733,	1.116,	0.9444,	1.789,	-356.0,	6.356,	2.417
0.8944,	1.116,	0.9444,	1.789,	-355.4,	5.612,	2.486
1.116,	1.116,	0.9444,	1.789,	-356.3,	6.442,	2.406
1.337,	1.116,	0.9444,	1.789,	-356.0,	5.892,	3.16
1.558,	1.116,	0.9444,	1.789,	-356.4,	6.528,	2.696
1.779,	1.116,	0.9444,	1.789,	-357.2,	7.386,	2.532
2.0,	1.116,	0.9444,	1.789,	-356.8,	6.934,	2.999
0.01,	1.337,	0.9444,	1.789,	-359.2,	5.045,	1.612
0.2311,	1.337,	0.9444,	1.789,	-355.4,	5.659,	2.382
0.4522,	1.337,	0.9444,	1.789,	-355.4,	5.533,	2.944
0.6733,	1.337,	0.9444,	1.789,	-355.9,	6.009,	2.663
0.8944,	1.337,	0.9444,	1.789,	-356.0,	5.951,	3.212
1.116,	1.337,	0.9444,	1.789,	-356.5,	6.693,	2.665
1.337,	1.337,	0.9444,	1.789,	-356.5,	7.034,	2.433
1.558,	1.337,	0.9444,	1.789,	-357.1,	7.419,	2.672
1.779,	1.337,	0.9444,	1.789,	-356.8,	6.769,	2.503
2.0,	1.337,	0.9444,	1.789,	-356.6,	6.574,	3.081
0.01,	1.558,	0.9444,	1.789,	-359.4,	5.076,	1.808
0.2311,	1.558,	0.9444,	1.789,	-355.2,	5.457,	2.822
0.4522,	1.558,	0.9444,	1.789,	-355.6,	5.727,	2.677
0.6733,	1.558,	0.9444,	1.789,	-355.9,	6.067,	2.604
0.8944,	1.558,	0.9444,	1.789,	-356.5,	6.562,	2.8
1.116,	1.558,	0.9444,	1.789,	-356.7,	6.656,	3.172
1.337,	1.558,	0.9444,	1.789,	-356.8,	6.875,	3.191
1.558,	1.558,	0.9444,	1.789,	-357.4,	7.342,	3.028
1.779,	1.558,	0.9444,	1.789,	-356.4,	6.476,	2.986
2.0,	1.558,	0.9444,	1.789,	-357.6,	7.553,	3.045
0.01,	1.779,	0.9444,	1.789,	-360.0,	5.49,	2.248
0.2311,	1.779,	0.9444,	1.789,	-355.3,	5.54,	2.752
0.4522,	1.779,	0.9444,	1.789,	-356.0,	6.122,	3.271
0.6733,	1.779,	0.9444,	1.789,	-356.3,	6.377,	2.564
0.8944,	1.779,	0.9444,	1.789,	-356.9,	7.085,	3.045
1.116,	1.779,	0.9444,	1.789,	-356.6,	6.79,	2.772
1.337,	1.779,	0.9444,	1.789,	-356.3,	6.45,	2.679
1.558,	1.779,	0.9444,	1.789,	-356.2,	6.913,	2.233
1.779,	1.779,	0.9444,	1.789,	-357.2,	7.409,	2.974
2.0,	1.779,	0.9444,	1.789,	-357.5,	7.472,	3.488
0.01,	2.0,	0.9444,	1.789,	-360.0,	5.506,	1.806
0.2311,	2.0,	0.9444,	1.789,	-356.1,	6.056,	3.321
0.4522,	2.0,	0.9444,	1.789,	-355.8,	5.841,	2.915
0.6733,	2.0,	0.9444,	1.789,	-355.9,	6.031,	2.862
0.8944,	2.0,	0.9444,	1.789,	-356.8,	6.904,	2.664
1.116,	2.0,	0.9444,	1.789,	-356.5,	6.863,	2.39
1.337,	2.0,	0.9444,	1.789,	-356.8,	7.188,	2.605
1.558,	2.0,	0.9444,	1.789,	-356.9,	7.1,	2.652
1.779,	2.0,	0.9444,	1.789,	-357.4,	7.637,	2.595
2.0,	2.0,	0.9444,	1.789,	-357.1,	7.343,	2.377
0.01,	0.01,	1.156,	1.789,	-350.0,	0.6418,	1.413
0.2311,	0.01,	1.156,	1.789,	-350.7,	1.075,	2.19
0.4522,	0.01,	1.156,	1.789,	-351.4,	1.616,	1.928
0.6733,	0.01,	1.156,	1.789,	-352.0,	2.106,	2.305
0.8944,	0.01,	1.156,	1.789,	-352.1,	2.297,	2.224
1.116,	0.01,	1.156,	1.789,	-352.4,	2.672,	2.46
1.337,	0.01,	1.156,	1.789,	-352.3,	2.631,	2.038
1.558,	0.01,	1.156,	1.789,	-352.7,	2.885,	2.148
1.779,	0.01,	1.156,	1.789,	-352.3,	2.531,	2.002
2.0,	0.01,	1.156,	1.789,	-352.6,	2.834,	2.003
0.01,	0.2311,	1.156,	1.789,	-352.7,	3.298,	1.803
0.2311,	0.2311,	1.156,	1.789,	-353.8,	3.916,	2.799
0.4522,	0.2311,	1.156,	1.789,	-354.2,	4.569,	2.553
0.6733,	0.2311,	1.156,	1.789,	-355.0,	4.828,	3.817
0.8944,	0.2311,	1.156,	1.789,	-355.0,	5.004,	2.786
1.116,	0.2311,	1.156,	1.789,	-355.3,	5.474,	2.681
1.337,	0.2311,	1.156,	1.789,	-355.4,	5.532,	2.338
1.558,	0.2311,	1.156,	1.789,	-354.8,	5.125,	2.508
1.779,	0.2311,	1.156,	1.789,	-356.2,	6.112,	2.972
2.0,	0.2311,	1.156,	1.789,	-355.6,	5.848,	2.197
0.01,	0.4522,	1.156,	1.789,	-353.6,	4.185,	2.397
0.2311,	0.4522,	1.156,	1.789,	-354.5,	4.783,	2.211
0.4522,	0.4522,	1.156,	1.789,	-354.9,	5.16,	2.69
0.6733,	0.4522,	1.156,	1.789,	-354.7,	5.013,	2.445
0.8944,	0.4522,	1.156,	1.789,	-356.1,	6.2,	2.699
1.116,	0.4522,	1.156,	1.789,	-356.2,	6.329,	3.182
1.337,	0.4522,	1.156,	1.789,	-356.4,	6.333,	3.125
1.558,	0.4522,	1.156,	1.789,	-356.5,	6.407,	3.104
1.779,	0.4522,	1.156,	1.789,	-356.6,	6.565,	3.45
2.0,	0.4522,	1.156,	1.789,	-355.7,	5.737,	3.244
0.01,	0.6733,	1.156,	1.789,	-353.8,	4.452,	1.598
0.2311,	0.6733,	1.156,	1.789,	-354.8,	5.058,	2.53
0.4522,	0.6733,	1.156,	1.789,	-355.0,	5.162,	2.295
0.6733,	0.6733,	1.156,	1.789,	-355.4,	5.691,	2.264
0.8944,	0.6733,	1.156,	1.789,	-356.0,	6.102,	2.774
1.116,	0.6733,	1.156,	1.789,	-356.2,	6.445,	2.786
1.337,	0.6733,	1.156,	1.789,	-356.7,	6.818,	2.442
1.558,	0.6733,	1.156,	1.789,	-356.7,	6.599,	3.081
1.779,	0.6733,	1.156,	1.789,	-356.9,	6.805,	3.216
2.0,	0.6733,	1.156,	1.789,	-356.6,	6.871,	2.453
0.01,	0.8944,	1.156,	1.789,	-354.1,	4.755,	1.329
0.2311,	0.8944,	1.156,	1.789,	-354.8,	5.004,	2.371
0.4522,	0.8944,	1.156,	1.789,	-354.9,	5.297,	2.001
0.6733,	0.8944,	1.156,	1.789,	-355.9,	6.133,	2.902
0.8944,	0.8944,	1.156,	1.789,	-356.7,	6.68,	2.959
1.116,	0.8944,	1.156,	1.789,	-356.5,	6.641,	2.843
1.337,	0.8944,	1.156,	1.789,	-356.5,	6.605,	2.73
1.558,	0.8944,	1.156,	1.789,	-357.2,	7.11,	2.889
1.779,	0.8944,	1.156,	1.789,	-356.6,	6.703,	2.57
2.0,	0.8944,	1.156,	1.789,	-357.7,	7.783,	2.648
0.01,	1.116,	1.156,	1.789,	-354.2,	4.643,	2.027
0.2311,	1.116,	1.156,	1.789,	-355.7,	5.872,	3.014
0.4522,	1.116,	1.156,	1.789,	-355.6,	5.873,	2.322
0.6733,	1.116,	1.156,	1.789,	-355.9,	5.951,	2.809
0.8944,	1.116,	1.156,	1.789,	-356.8,	6.901,	2.73
1.116,	1.116,	1.156,	1.789,	-356.4,	6.573,	3.128
1.337,	1.116,	1.156,	1.789,	-356.9,	6.771,	3.544
1.558,	1.116,	1.156,	1.789,	-356.9,	6.948,	3.239
1.779,	1.116,	1.156,	1.789,	-357.2,	7.341,	2.619
2.0,	1.116,	1.156,	1.789,	-357.8,	7.883,	2.63
0.01,	1.337,	1.156,	1.789,	-354.8,	5.329,	2.065
0.2311,	1.337,	1.156,	1.789,	-354.9,	5.19,	2.315
0.4522,	1.337,	1.156,	1.789,	-356.5,	6.508,	3.015
0.6733,	1.337,	1.156,	1.789,	-356.8,	6.79,	2.89
0.8944,	1.337,	1.156,	1.789,	-356.5,	6.509,	3.043
1.116,	1.337,	1.156,	1.789,	-357.0,	7.095,	2.799
1.337,	1.337,	1.156,	1.789,	-357.0,	7.055,	2.078
1.558,	1.337,	1.156,	1.789,	-357.2,	7.297,	2.78
1.779,	1.337,	1.156,	1.789,	-357.1,	7.413,	2.293
2.0,	1.337,	1.156,	1.789,	-357.7,	7.858,	2.753
0.01,	1.558,	1.156,	1.789,	-354.9,	5.426,	1.991
0.2311,	1.558,	1.156,	1.789,	-356.1,	6.152,	2.941
0.4522,	1.558,	1.156,	1.789,	-356.7,	6.841,	3.107
0.6733,	1.558,	1.156,	1.789,	-356.4,	6.501,	2.992
0.8944,	1.558,	1.156,	1.789,	-356.6,	6.821,	2.475
1.116,	1.558,	1.156,	1.789,	-356.9,	7.018,	3.335
1.337,	1.558,	1.156,	1.789,	-357.4,	7.484,	2.71
1.558,	1.558,	1.156,	1.789,	-356.7,	6.84,	2.505
1.779,	1.558,	1.156,	1.789,	-357.3,	7.391,	2.75
2.0,	1.558,	1.156,	1.789,	-357.9,	7.886,	3.497
0.01,	1.779,	1.156,	1.789,	-354.7,	5.358,	1.864
0.2311,	1.779,	1.156,	1.789,	-355.9,	5.936,	2.982
0.4522,	1.779,	1.156,	1.789,	-355.7,	6.054,	2.14
0.6733,	1.779,	1.156,	1.789,	-356.8,	6.834,	3.034
0.8944,	1.779,	1.156,	1.789,	-356.6,	7.041,	2.582
1.116,	1.779,	1.156,	1.789,	-357.0,	7.237,	2.51
1.337,	1.779,	1.156,	1.789,	-357.3,	7.542,	2.815
1.558,	1.779,	1.156,	1.789,	-358.2,	8.428,	2.6
1.779,	1.779,	1.156,	1.789,	-357.7,	7.746,	2.767
2.0,	1.779,	1.156,	1.789,	-358.1,	8.487,	2.36
0.01,	2.0,	1.156,	1.789,	-355.2,	5.72,	2.041
0.2311,	2.0,	1.156,	1.789,	-355.6,	5.848,	2.476
0.4522,	2.0,	1.156,	1.789,	-355.9,	6.132,	2.188
0.6733,	2.0,	1.156,	1.789,	-357.0,	6.982,	2.721
0.8944,	2.0,	1.156,	1.789,	-356.9,	7.011,	2.81
1.116,	2.0,	1.156,	1.789,	-358.5,	8.533,	3.732
1.337,	2.0,	1.156,	1.789,	-358.2,	8.065,	3.531
1.558,	2.0,	1.156,	1.789,	-357.5,	7.778,	2.506
1.779,	2.0,	1.156,	1.789,	-357.5,	7.687,	2.283
2.0,	2.0,	1.156,	1.789,	-358.0,	8.137,	2.545
0.01,	0.01,	1.367,	1.789,	-355.8,	0.5082,	1.289
0.2311,	0.01,	1.367,	1.789,	-358.0,	2.115,	2.621
0.4522,	0.01,	1.367,	1.789,	-358.5,	2.579,	2.609
0.6733,	0.01,	1.367,	1.789,	-359.1,	3.168,	2.969
0.8944,	0.01,	1.367,	1.789,	-359.0,	3.115,	2.454
1.116,	0.01,	1.367,	1.789,	-359.1,	3.24,	2.575
1.337,	0.01,	1.367,	1.789,	-359.4,	3.474,	2.832
1.558,	0.01,	1.367,	1.789,	-359.3,	3.501,	2.999
1.779,	0.01,	1.367,	1.789,	-359.7,	4.09,	2.616
2.0,	0.01,	1.367,	1.789,	-359.7,	4.038,	2.473
0.01,	0.2311,	1.367,	1.789,	-359.2,	3.735,	2.331
0.2311,	0.2311,	1.367,	1.789,	-360.8,	4.894,	3.642
0.4522,	0.2311,	1.367,	1.789,	-362.5,	6.098,	4.049
0.6733,	0.2311,	1.367,	1.789,	-362.3,	6.124,	3.704
0.8944,	0.2311,	1.367,	1.789,	-361.9,	6.013,	2.976
1.116,	0.2311,	1.367,	1.789,	-362.4,	6.234,	3.233
1.337,	0.2311,	1.367,	1.789,	-362.1,	5.971,	3.406
1.558,	0.2311,	1.367,	1.789,	-362.1,	6.081,	3.438
1.779,	0.2311,	1.367,	1.789,	-363.2,	7.039,	3.632
2.0,	0.2311,	1.367,	1.789,	-363.0,	7.028,	3.192
0.01,	0.4522,	1.367,	1.789,	-359.3,	3.97,	2.028
0.2311,	0.4522,	1.367,	1.789,	-361.3,	5.028,	3.365
0.4522,	0.4522,	1.367,	1.789,	-361.9,	5.768,	3.859
0.6733,	0.4522,	1.367,	1.789,	-362.4,	6.296,	3.243
