sc,	sm,	mu_c,	mu_m,	lnZ,	D,	d 
1.558,	1.558,	0.3111,	0.1,	-244.1,	4.677,	2.033
1.779,	1.558,	0.3111,	0.1,	-243.8,	4.615,	1.643
2.0,	1.558,	0.3111,	0.1,	-244.6,	5.131,	2.383
0.01,	1.779,	0.3111,	0.1,	-328.1,	3.329,	3.669
0.2311,	1.779,	0.3111,	0.1,	-253.1,	12.82,	5.686
0.4522,	1.779,	0.3111,	0.1,	-245.7,	6.336,	2.313
0.6733,	1.779,	0.3111,	0.1,	-244.2,	4.905,	2.125
0.8944,	1.779,	0.3111,	0.1,	-244.4,	5.021,	2.193
1.116,	1.779,	0.3111,	0.1,	-243.6,	4.256,	1.981
1.337,	1.779,	0.3111,	0.1,	-243.8,	4.601,	1.805
1.558,	1.779,	0.3111,	0.1,	-243.8,	4.511,	1.576
1.779,	1.779,	0.3111,	0.1,	-244.0,	4.619,	2.028
2.0,	1.779,	0.3111,	0.1,	-244.2,	4.878,	1.759
0.01,	2.0,	0.3111,	0.1,	-327.9,	3.415,	4.072
0.2311,	2.0,	0.3111,	0.1,	-253.3,	12.77,	5.353
0.4522,	2.0,	0.3111,	0.1,	-246.4,	6.772,	2.709
0.6733,	2.0,	0.3111,	0.1,	-244.7,	5.458,	1.814
0.8944,	2.0,	0.3111,	0.1,	-244.1,	4.781,	1.631
1.116,	2.0,	0.3111,	0.1,	-243.9,	4.596,	2.047
1.337,	2.0,	0.3111,	0.1,	-243.8,	4.54,	1.664
1.558,	2.0,	0.3111,	0.1,	-244.1,	4.691,	1.969
1.779,	2.0,	0.3111,	0.1,	-243.7,	4.535,	1.448
2.0,	2.0,	0.3111,	0.1,	-244.7,	5.416,	1.888
0.01,	0.01,	0.5222,	0.1,	-763.0,	20.16,	36.43
0.2311,	0.01,	0.5222,	0.1,	-724.2,	26.8,	101.5
0.4522,	0.01,	0.5222,	0.1,	-718.9,	21.95,	62.02
0.6733,	0.01,	0.5222,	0.1,	-717.1,	23.26,	25.3
0.8944,	0.01,	0.5222,	0.1,	-718.7,	22.89,	52.33
1.116,	0.01,	0.5222,	0.1,	-719.1,	21.73,	60.65
